Angle Left	Angle Right	Avg Angle	Energy (keV)	FWHM (keV)	Net Counts	Uncertainty	Live Time	Real Time
85	74.25	79.625	317.83	40.64	15837	544	291.22	291.78
80	69.25	74.625	334.51	47.58	13190	492	233.34	233.8
75	64.25	69.625	353.52	50.79	10691	422	175	175.38
70	59.25	64.625	372.42	42.93	10268	389	159.62	160
65	54.25	59.625	395.22	56.93	11211	365	148.16	148.56
60	49.25	54.625	419.84	53.42	10695	424	142.16	142.56
55	44.25	49.625	444.27	55.75	10546	413	123.58	125.86
50	39.25	44.625	467.43	62.32	16675	502	173.28	176.08
45	34.25	39.625	496.4	75.68	13302	403	126.08	128.92
40	29.25	34.625	522.44	69.37	10987	332	92.9	95.28
35	24.25	29.625	547.42	64.57	11012	453	94.36	96.98
30	19.25	24.625	571.76	66.64	14872	457	107.78	109.78
25	14.25	19.625	594.79	61.57	15089	440	89.82	92.68
20	9.25	14.625	616.41	61.76	17480	459	82.9	85.18
