accelerationVoltage plateVoltage shieldVoltage
volts millivolts millivolts
0.1 2.5 4.2
0.2 3.8 6.9
0.3 5.2 10.0
0.4 6.8 13.5
0.5 8.5 17.3
0.6 10.3 21.3
0.7 12.2 25.5
0.8 14.2 29.9
0.9 16.2 34.4
1.0 18.4 39.2
1.1 20.6 44.1
1.2 22.9 49.2
1.3 25.3 54.5
1.4 27.7 59.8
1.5 30.1 65.3
2 42.1 94.9
2.5 54.8 126.5
3.0 68.5 159.5
3.5 83.3 193.5
4.0 99.2 228
4.5 116.2 265
5.0 134 304
5.5 152.3 345
6.0 170.8 389
6.5 188.7 436
7.0 206 484
7.5 224 535
8.0 245 587
8.5 266 639
9.0 289 696
9.5 312 751
10.0 331 807
10.5 347 864
11.0 361 922
11.5 379 976
12.0 401 1029
12.5 425 1081
13.0 451 1134
13.5 480 1187
14.0 529 1245
14.5 667 1313
15.0 800 1382
