accelerationVoltage plateVoltage shieldVoltage shieldUncertainty
volts millivolts millivolts millivolts
0.1 0.6 2.0 0.05
0.2 1.3 3.8 0.05
0.3 2.3 6.2 0.05
0.4 3.7 9.2 0.05
0.5 5.2 12.6 0.05
0.6 6.8 16.3 0.05
0.7 8.4 20.3 0.05
0.8 9.7 24.3 0.05
0.9 10.9 28.6 0.05
1.0 11.9 33.3 0.05
1.1 12.7 37.9 0.05
1.2 13.3 42.8 0.05
1.3 13.6 47.9 0.05
1.4 13.8 53.0 0.05
1.5 13.8 58.3 0.05
2.0 12.7 86.9 0.05
2.5 11.1 116.7 0.05
3.0 10.1 147.1 0.05
3.5 9.8 177.8 0.05
4.0 9.7 207 0.5
4.5 9.7 238 0.5
5.0 9.9 270 0.5
5.5 10.3 304 0.5
6.0 10.9 339 0.5
6.5 11.7 375 0.5
7.0 12.6 413 0.5
7.5 13.8 453 0.5
8.0 15.2 494 0.5
8.5 16.9 535 0.5
9.0 19.2 579 0.5
9.5 21.9 623 0.5
10.0 25.7 669 0.5
10.5 30.3 716 0.5
11.0 36.2 765 0.5
11.5 44.5 819 0.5
12.0 59.8 892 0.5
12.5 99.1 1023 0.5
13.0 472 1530 0.5
13.5 1006 1978 0.5
14.0 1724 2440 5
14.5 2350 2940 5
15.0 2930 3470 5
